geography_level,geography_id,variable,method,statistic,p_value,significant,cluster_type
UPZ,100,estrato_promedio_reportado,Moran Local (LISA),0.9269,0.014,True,High-High
UPZ,83,estrato_promedio_reportado,Moran Local (LISA),0.9389,0.012,True,Low-Low
UPZ,107,estrato_promedio_reportado,Moran Local (LISA),0.5342,0.082,False,No significativo
UPZ,101,estrato_promedio_reportado,Moran Local (LISA),0.611,0.031,True,High-High
UPZ,91,estrato_promedio_reportado,Moran Local (LISA),0.2892,0.196,False,No significativo
UPZ,108,estrato_promedio_reportado,Moran Local (LISA),0.1651,0.197,False,No significativo
UPZ,55,estrato_promedio_reportado,Moran Local (LISA),1.2121,0.001,True,Low-Low
UPZ,51,estrato_promedio_reportado,Moran Local (LISA),1.497,0.001,True,Low-Low
UPZ,60,estrato_promedio_reportado,Moran Local (LISA),1.834,0.001,True,Low-Low
UPZ,56,estrato_promedio_reportado,Moran Local (LISA),1.3772,0.001,True,Low-Low
UPZ,65,estrato_promedio_reportado,Moran Local (LISA),0.6543,0.012,True,Low-Low
UPZ,2,estrato_promedio_reportado,Moran Local (LISA),1.4649,0.023,True,High-High
UPZ,17,estrato_promedio_reportado,Moran Local (LISA),1.3952,0.035,True,High-High
UPZ,18,estrato_promedio_reportado,Moran Local (LISA),1.0735,0.006,True,High-High
UPZ,26,estrato_promedio_reportado,Moran Local (LISA),0.2663,0.026,True,High-High
UPZ,48,estrato_promedio_reportado,Moran Local (LISA),0.0876,0.084,False,No significativo
UPZ,13,estrato_promedio_reportado,Moran Local (LISA),1.6492,0.003,True,High-High
UPZ,70,estrato_promedio_reportado,Moran Local (LISA),1.7593,0.002,True,Low-Low
UPZ,35,estrato_promedio_reportado,Moran Local (LISA),0.2355,0.169,False,No significativo
UPZ,38,estrato_promedio_reportado,Moran Local (LISA),0.0022,0.288,False,No significativo
UPZ,115,estrato_promedio_reportado,Moran Local (LISA),0.2472,0.14,False,No significativo
UPZ,50,estrato_promedio_reportado,Moran Local (LISA),1.2355,0.002,True,Low-Low
UPZ,20,estrato_promedio_reportado,Moran Local (LISA),2.5614,0.001,True,High-High
UPZ,79,estrato_promedio_reportado,Moran Local (LISA),0.4189,0.2,False,No significativo
UPZ,61,estrato_promedio_reportado,Moran Local (LISA),2.2187,0.001,True,Low-Low
UPZ,12,estrato_promedio_reportado,Moran Local (LISA),0.5213,0.007,True,High-High
UPZ,10,estrato_promedio_reportado,Moran Local (LISA),0.1909,0.037,True,High-High
UPZ,59,estrato_promedio_reportado,Moran Local (LISA),2.1984,0.001,True,Low-Low
UPZ,58,estrato_promedio_reportado,Moran Local (LISA),2.0259,0.001,True,Low-Low
UPZ,43,estrato_promedio_reportado,Moran Local (LISA),-0.0062,0.348,False,No significativo
UPZ,47,estrato_promedio_reportado,Moran Local (LISA),0.0354,0.209,False,No significativo
UPZ,36,estrato_promedio_reportado,Moran Local (LISA),0.0926,0.062,False,No significativo
UPZ,66,estrato_promedio_reportado,Moran Local (LISA),1.1481,0.005,True,Low-Low
UPZ,57,estrato_promedio_reportado,Moran Local (LISA),1.8462,0.001,True,Low-Low
UPZ,52,estrato_promedio_reportado,Moran Local (LISA),1.8259,0.001,True,Low-Low
UPZ,11,estrato_promedio_reportado,Moran Local (LISA),0.2114,0.089,False,No significativo
UPZ,14,estrato_promedio_reportado,Moran Local (LISA),3.4759,0.001,True,High-High
UPZ,73,estrato_promedio_reportado,Moran Local (LISA),-0.0001,0.49,False,No significativo
UPZ,74,estrato_promedio_reportado,Moran Local (LISA),-0.0184,0.378,False,No significativo
UPZ,104,estrato_promedio_reportado,Moran Local (LISA),0.744,0.007,True,High-High
UPZ,31,estrato_promedio_reportado,Moran Local (LISA),0.1525,0.089,False,No significativo
UPZ,68,estrato_promedio_reportado,Moran Local (LISA),1.6702,0.048,True,Low-Low
UPZ,64,estrato_promedio_reportado,Moran Local (LISA),2.1034,0.003,True,Low-Low
UPZ,71,estrato_promedio_reportado,Moran Local (LISA),0.1242,0.407,False,No significativo
UPZ,29,estrato_promedio_reportado,Moran Local (LISA),-0.0109,0.235,False,No significativo
UPZ,76,estrato_promedio_reportado,Moran Local (LISA),0.0003,0.496,False,No significativo
UPZ,3,estrato_promedio_reportado,Moran Local (LISA),0.9228,0.053,False,No significativo
UPZ,80,estrato_promedio_reportado,Moran Local (LISA),0.4117,0.137,False,No significativo
UPZ,67,estrato_promedio_reportado,Moran Local (LISA),1.6945,0.001,True,Low-Low
UPZ,63,estrato_promedio_reportado,Moran Local (LISA),1.1705,0.001,True,Low-Low
UPZ,28,estrato_promedio_reportado,Moran Local (LISA),-0.0756,0.213,False,No significativo
UPZ,30,estrato_promedio_reportado,Moran Local (LISA),0.0128,0.374,False,No significativo
UPZ,116,estrato_promedio_reportado,Moran Local (LISA),0.0439,0.309,False,No significativo
UPZ,85,estrato_promedio_reportado,Moran Local (LISA),0.9712,0.013,True,Low-Low
UPZ,42,estrato_promedio_reportado,Moran Local (LISA),0.1567,0.036,True,Low-Low
UPZ,111,estrato_promedio_reportado,Moran Local (LISA),0.1347,0.114,False,No significativo
UPZ,44,estrato_promedio_reportado,Moran Local (LISA),0.001,0.455,False,No significativo
UPZ,41,estrato_promedio_reportado,Moran Local (LISA),-0.0049,0.463,False,No significativo
UPZ,40,estrato_promedio_reportado,Moran Local (LISA),-0.0008,0.425,False,No significativo
UPZ,34,estrato_promedio_reportado,Moran Local (LISA),0.67,0.014,True,Low-Low
UPZ,84,estrato_promedio_reportado,Moran Local (LISA),1.2343,0.004,True,Low-Low
UPZ,32,estrato_promedio_reportado,Moran Local (LISA),0.5718,0.013,True,Low-Low
UPZ,95,estrato_promedio_reportado,Moran Local (LISA),0.1618,0.102,False,No significativo
UPZ,87,estrato_promedio_reportado,Moran Local (LISA),1.3697,0.014,True,Low-Low
UPZ,117,estrato_promedio_reportado,Moran Local (LISA),0.0346,0.359,False,No significativo
UPZ,77,estrato_promedio_reportado,Moran Local (LISA),0.0192,0.466,False,No significativo
UPZ,54,estrato_promedio_reportado,Moran Local (LISA),0.8681,0.002,True,Low-Low
UPZ,39,estrato_promedio_reportado,Moran Local (LISA),0.0175,0.156,False,No significativo
UPZ,62,estrato_promedio_reportado,Moran Local (LISA),0.9796,0.003,True,Low-Low
UPZ,53,estrato_promedio_reportado,Moran Local (LISA),0.6513,0.071,False,No significativo
UPZ,69,estrato_promedio_reportado,Moran Local (LISA),1.3506,0.021,True,Low-Low
UPZ,1,estrato_promedio_reportado,Moran Local (LISA),0.7024,0.078,False,No significativo
UPZ,46,estrato_promedio_reportado,Moran Local (LISA),0.0387,0.171,False,No significativo
UPZ,112,estrato_promedio_reportado,Moran Local (LISA),0.059,0.206,False,No significativo
UPZ,25,estrato_promedio_reportado,Moran Local (LISA),1.2094,0.03,True,High-High
UPZ,97,estrato_promedio_reportado,Moran Local (LISA),1.9891,0.001,True,High-High
UPZ,98,estrato_promedio_reportado,Moran Local (LISA),1.4467,0.014,True,High-High
UPZ,96,estrato_promedio_reportado,Moran Local (LISA),0.4438,0.192,False,No significativo
UPZ,92,estrato_promedio_reportado,Moran Local (LISA),0.0434,0.37,False,No significativo
UPZ,94,estrato_promedio_reportado,Moran Local (LISA),0.1723,0.179,False,No significativo
UPZ,78,estrato_promedio_reportado,Moran Local (LISA),0.1207,0.314,False,No significativo
UPZ,9,estrato_promedio_reportado,Moran Local (LISA),0.2404,0.011,True,High-High
UPZ,113,estrato_promedio_reportado,Moran Local (LISA),0.0147,0.414,False,No significativo
UPZ,81,estrato_promedio_reportado,Moran Local (LISA),0.6919,0.016,True,Low-Low
Localidad,09,deficit_aseo_relativo,Moran Local (LISA),-0.0627,0.031,True,High-Low
Localidad,10,deficit_aseo_relativo,Moran Local (LISA),0.2474,0.094,False,No significativo
Localidad,11,deficit_aseo_relativo,Moran Local (LISA),-0.0403,0.375,False,No significativo
Localidad,15,deficit_aseo_relativo,Moran Local (LISA),-0.0274,0.4,False,No significativo
Localidad,06,deficit_aseo_relativo,Moran Local (LISA),-0.0676,0.392,False,No significativo
Localidad,18,deficit_aseo_relativo,Moran Local (LISA),-0.0506,0.307,False,No significativo
Localidad,17,deficit_aseo_relativo,Moran Local (LISA),0.0108,0.179,False,No significativo
Localidad,12,deficit_aseo_relativo,Moran Local (LISA),0.223,0.226,False,No significativo
Localidad,13,deficit_aseo_relativo,Moran Local (LISA),0.596,0.063,False,No significativo
Localidad,16,deficit_aseo_relativo,Moran Local (LISA),0.5536,0.01,True,Low-Low
Localidad,14,deficit_aseo_relativo,Moran Local (LISA),1.3423,0.022,True,Low-Low
Localidad,20,deficit_aseo_relativo,Moran Local (LISA),1.671,0.066,False,No significativo
Localidad,01,deficit_aseo_relativo,Moran Local (LISA),-0.0892,0.393,False,No significativo
Localidad,02,deficit_aseo_relativo,Moran Local (LISA),-0.0413,0.357,False,No significativo
Localidad,03,deficit_aseo_relativo,Moran Local (LISA),-0.7389,0.053,False,No significativo
Localidad,04,deficit_aseo_relativo,Moran Local (LISA),0.091,0.373,False,No significativo
Localidad,05,deficit_aseo_relativo,Moran Local (LISA),0.9671,0.013,True,High-High
Localidad,19,deficit_aseo_relativo,Moran Local (LISA),0.5226,0.129,False,No significativo
Localidad,07,deficit_aseo_relativo,Moran Local (LISA),0.1553,0.329,False,No significativo
Localidad,08,deficit_aseo_relativo,Moran Local (LISA),-0.1536,0.214,False,No significativo
Localidad,09,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0007,0.475,False,No significativo
Localidad,10,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1117,0.344,False,No significativo
Localidad,11,densidad_puntos_criticos_km2,Moran Local (LISA),0.1502,0.305,False,No significativo
Localidad,15,densidad_puntos_criticos_km2,Moran Local (LISA),0.4792,0.12,False,No significativo
Localidad,06,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0199,0.157,False,No significativo
Localidad,18,densidad_puntos_criticos_km2,Moran Local (LISA),0.2819,0.221,False,No significativo
Localidad,17,densidad_puntos_criticos_km2,Moran Local (LISA),0.3852,0.266,False,No significativo
Localidad,12,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1759,0.092,False,No significativo
Localidad,13,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0413,0.436,False,No significativo
Localidad,16,densidad_puntos_criticos_km2,Moran Local (LISA),-0.3778,0.022,True,Low-High
Localidad,14,densidad_puntos_criticos_km2,Moran Local (LISA),0.2958,0.25,False,No significativo
Localidad,20,densidad_puntos_criticos_km2,Moran Local (LISA),1.0054,0.066,False,No significativo
Localidad,01,densidad_puntos_criticos_km2,Moran Local (LISA),0.3484,0.259,False,No significativo
Localidad,02,densidad_puntos_criticos_km2,Moran Local (LISA),0.4301,0.082,False,No significativo
Localidad,03,densidad_puntos_criticos_km2,Moran Local (LISA),-0.2126,0.241,False,No significativo
Localidad,04,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1912,0.182,False,No significativo
Localidad,05,densidad_puntos_criticos_km2,Moran Local (LISA),0.2319,0.251,False,No significativo
Localidad,19,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1644,0.354,False,No significativo
Localidad,07,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0068,0.416,False,No significativo
Localidad,08,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0304,0.482,False,No significativo
Localidad,09,densidad_homicidios_km2,Moran Local (LISA),0.0357,0.49,False,No significativo
Localidad,10,densidad_homicidios_km2,Moran Local (LISA),0.16,0.072,False,No significativo
Localidad,11,densidad_homicidios_km2,Moran Local (LISA),0.3476,0.065,False,No significativo
Localidad,15,densidad_homicidios_km2,Moran Local (LISA),0.1569,0.033,True,High-High
Localidad,06,densidad_homicidios_km2,Moran Local (LISA),0.0938,0.217,False,No significativo
Localidad,18,densidad_homicidios_km2,Moran Local (LISA),-0.2937,0.471,False,No significativo
Localidad,17,densidad_homicidios_km2,Moran Local (LISA),0.0168,0.475,False,No significativo
Localidad,12,densidad_homicidios_km2,Moran Local (LISA),0.2365,0.013,True,Low-Low
Localidad,13,densidad_homicidios_km2,Moran Local (LISA),-0.041,0.451,False,No significativo
Localidad,16,densidad_homicidios_km2,Moran Local (LISA),-0.0961,0.071,False,No significativo
Localidad,14,densidad_homicidios_km2,Moran Local (LISA),-0.7813,0.416,False,No significativo
Localidad,20,densidad_homicidios_km2,Moran Local (LISA),0.8065,0.116,False,No significativo
Localidad,01,densidad_homicidios_km2,Moran Local (LISA),0.43,0.081,False,No significativo
Localidad,02,densidad_homicidios_km2,Moran Local (LISA),0.473,0.034,True,Low-Low
Localidad,03,densidad_homicidios_km2,Moran Local (LISA),-0.084,0.328,False,No significativo
Localidad,04,densidad_homicidios_km2,Moran Local (LISA),-0.0819,0.352,False,No significativo
Localidad,05,densidad_homicidios_km2,Moran Local (LISA),-0.0531,0.446,False,No significativo
Localidad,19,densidad_homicidios_km2,Moran Local (LISA),-0.0866,0.265,False,No significativo
Localidad,07,densidad_homicidios_km2,Moran Local (LISA),0.3174,0.259,False,No significativo
Localidad,08,densidad_homicidios_km2,Moran Local (LISA),0.0645,0.373,False,No significativo
Localidad,09,densidad_incidentes_km2,Moran Local (LISA),-0.097,0.097,False,No significativo
Localidad,10,densidad_incidentes_km2,Moran Local (LISA),0.1326,0.312,False,No significativo
Localidad,11,densidad_incidentes_km2,Moran Local (LISA),-0.07,0.436,False,No significativo
Localidad,15,densidad_incidentes_km2,Moran Local (LISA),-0.1063,0.397,False,No significativo
Localidad,06,densidad_incidentes_km2,Moran Local (LISA),-0.0114,0.48,False,No significativo
Localidad,18,densidad_incidentes_km2,Moran Local (LISA),-0.0657,0.361,False,No significativo
Localidad,17,densidad_incidentes_km2,Moran Local (LISA),-1.0684,0.179,False,No significativo
Localidad,12,densidad_incidentes_km2,Moran Local (LISA),0.0414,0.385,False,No significativo
Localidad,13,densidad_incidentes_km2,Moran Local (LISA),0.1595,0.246,False,No significativo
Localidad,16,densidad_incidentes_km2,Moran Local (LISA),0.3003,0.007,True,High-High
Localidad,14,densidad_incidentes_km2,Moran Local (LISA),0.5278,0.056,False,No significativo
Localidad,20,densidad_incidentes_km2,Moran Local (LISA),2.6387,0.066,False,No significativo
Localidad,01,densidad_incidentes_km2,Moran Local (LISA),0.0327,0.448,False,No significativo
Localidad,02,densidad_incidentes_km2,Moran Local (LISA),0.0132,0.396,False,No significativo
Localidad,03,densidad_incidentes_km2,Moran Local (LISA),-0.696,0.022,True,Low-High
Localidad,04,densidad_incidentes_km2,Moran Local (LISA),0.0789,0.382,False,No significativo
Localidad,05,densidad_incidentes_km2,Moran Local (LISA),1.0641,0.015,True,Low-Low
Localidad,19,densidad_incidentes_km2,Moran Local (LISA),0.1335,0.351,False,No significativo
Localidad,07,densidad_incidentes_km2,Moran Local (LISA),-0.0927,0.246,False,No significativo
Localidad,08,densidad_incidentes_km2,Moran Local (LISA),-0.0218,0.461,False,No significativo
