geography_level,geography_id,variable,method,statistic,p_value,significant,cluster_type
UPZ,22,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0209,0.457,False,No significativo
UPZ,114,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1104,0.388,False,No significativo
UPZ,103,densidad_puntos_criticos_km2,Moran Local (LISA),0.0661,0.457,False,No significativo
UPZ,105,densidad_puntos_criticos_km2,Moran Local (LISA),0.4736,0.072,False,No significativo
UPZ,88,densidad_puntos_criticos_km2,Moran Local (LISA),0.5943,0.105,False,No significativo
UPZ,27,densidad_puntos_criticos_km2,Moran Local (LISA),0.0676,0.402,False,No significativo
UPZ,99,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1059,0.312,False,No significativo
UPZ,109,densidad_puntos_criticos_km2,Moran Local (LISA),0.6262,0.015,True,Low-Low
UPZ,90,densidad_puntos_criticos_km2,Moran Local (LISA),0.1001,0.342,False,No significativo
UPZ,33,densidad_puntos_criticos_km2,Moran Local (LISA),0.4385,0.009,True,High-High
UPZ,102,densidad_puntos_criticos_km2,Moran Local (LISA),1.1347,0.037,True,High-High
UPZ,45,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0729,0.493,False,No significativo
UPZ,93,densidad_puntos_criticos_km2,Moran Local (LISA),1.0301,0.034,True,High-High
UPZ,72,densidad_puntos_criticos_km2,Moran Local (LISA),-0.3705,0.12,False,No significativo
UPZ,15,densidad_puntos_criticos_km2,Moran Local (LISA),0.7037,0.003,True,Low-Low
UPZ,16,densidad_puntos_criticos_km2,Moran Local (LISA),0.5932,0.023,True,Low-Low
UPZ,21,densidad_puntos_criticos_km2,Moran Local (LISA),0.0602,0.36,False,No significativo
UPZ,89,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0,0.001,True,Low-Low
UPZ,106,densidad_puntos_criticos_km2,Moran Local (LISA),0.3978,0.19,False,No significativo
UPZ,86,densidad_puntos_criticos_km2,Moran Local (LISA),0.3356,0.176,False,No significativo
UPZ,82,densidad_puntos_criticos_km2,Moran Local (LISA),1.5352,0.044,True,High-High
UPZ,37,densidad_puntos_criticos_km2,Moran Local (LISA),0.2721,0.003,True,High-High
UPZ,49,densidad_puntos_criticos_km2,Moran Local (LISA),-0.2195,0.032,True,Low-High
UPZ,19,densidad_puntos_criticos_km2,Moran Local (LISA),0.0643,0.001,True,Low-Low
UPZ,24,densidad_puntos_criticos_km2,Moran Local (LISA),0.4176,0.069,False,No significativo
UPZ,23,densidad_puntos_criticos_km2,Moran Local (LISA),0.4658,0.09,False,No significativo
UPZ,110,densidad_puntos_criticos_km2,Moran Local (LISA),0.3756,0.091,False,No significativo
UPZ,100,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0002,0.084,False,No significativo
UPZ,83,densidad_puntos_criticos_km2,Moran Local (LISA),0.1021,0.019,True,High-High
UPZ,107,densidad_puntos_criticos_km2,Moran Local (LISA),0.0214,0.259,False,No significativo
UPZ,101,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1813,0.17,False,No significativo
UPZ,91,densidad_puntos_criticos_km2,Moran Local (LISA),0.0189,0.237,False,No significativo
UPZ,108,densidad_puntos_criticos_km2,Moran Local (LISA),0.0119,0.368,False,No significativo
UPZ,55,densidad_puntos_criticos_km2,Moran Local (LISA),0.0707,0.372,False,No significativo
UPZ,51,densidad_puntos_criticos_km2,Moran Local (LISA),0.0253,0.226,False,No significativo
UPZ,60,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1624,0.274,False,No significativo
UPZ,56,densidad_puntos_criticos_km2,Moran Local (LISA),0.0952,0.393,False,No significativo
UPZ,65,densidad_puntos_criticos_km2,Moran Local (LISA),0.6183,0.101,False,No significativo
UPZ,2,densidad_puntos_criticos_km2,Moran Local (LISA),0.6781,0.026,True,Low-Low
UPZ,17,densidad_puntos_criticos_km2,Moran Local (LISA),0.4774,0.021,True,Low-Low
UPZ,18,densidad_puntos_criticos_km2,Moran Local (LISA),0.3053,0.019,True,Low-Low
UPZ,26,densidad_puntos_criticos_km2,Moran Local (LISA),-0.2908,0.219,False,No significativo
UPZ,48,densidad_puntos_criticos_km2,Moran Local (LISA),0.9693,0.033,True,High-High
UPZ,13,densidad_puntos_criticos_km2,Moran Local (LISA),0.5408,0.036,True,Low-Low
UPZ,70,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0799,0.062,False,No significativo
UPZ,35,densidad_puntos_criticos_km2,Moran Local (LISA),1.0545,0.001,True,High-High
UPZ,38,densidad_puntos_criticos_km2,Moran Local (LISA),1.8968,0.022,True,High-High
UPZ,115,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1037,0.367,False,No significativo
UPZ,50,densidad_puntos_criticos_km2,Moran Local (LISA),0.1638,0.331,False,No significativo
UPZ,20,densidad_puntos_criticos_km2,Moran Local (LISA),0.6188,0.007,True,Low-Low
UPZ,79,densidad_puntos_criticos_km2,Moran Local (LISA),0.1113,0.271,False,No significativo
UPZ,61,densidad_puntos_criticos_km2,Moran Local (LISA),0.5936,0.017,True,Low-Low
UPZ,12,densidad_puntos_criticos_km2,Moran Local (LISA),0.2533,0.026,True,Low-Low
UPZ,10,densidad_puntos_criticos_km2,Moran Local (LISA),0.3754,0.082,False,No significativo
UPZ,59,densidad_puntos_criticos_km2,Moran Local (LISA),0.485,0.158,False,No significativo
UPZ,58,densidad_puntos_criticos_km2,Moran Local (LISA),0.3707,0.007,True,Low-Low
UPZ,43,densidad_puntos_criticos_km2,Moran Local (LISA),0.159,0.286,False,No significativo
UPZ,47,densidad_puntos_criticos_km2,Moran Local (LISA),-0.4931,0.024,True,Low-High
UPZ,36,densidad_puntos_criticos_km2,Moran Local (LISA),0.7109,0.036,True,High-High
UPZ,66,densidad_puntos_criticos_km2,Moran Local (LISA),0.6012,0.187,False,No significativo
UPZ,57,densidad_puntos_criticos_km2,Moran Local (LISA),0.1979,0.001,True,Low-Low
UPZ,52,densidad_puntos_criticos_km2,Moran Local (LISA),0.4491,0.128,False,No significativo
UPZ,11,densidad_puntos_criticos_km2,Moran Local (LISA),0.4554,0.059,False,No significativo
UPZ,14,densidad_puntos_criticos_km2,Moran Local (LISA),0.7967,0.001,True,Low-Low
UPZ,73,densidad_puntos_criticos_km2,Moran Local (LISA),0.0646,0.247,False,No significativo
UPZ,74,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0126,0.453,False,No significativo
UPZ,104,densidad_puntos_criticos_km2,Moran Local (LISA),0.4371,0.051,False,No significativo
UPZ,31,densidad_puntos_criticos_km2,Moran Local (LISA),-0.101,0.254,False,No significativo
UPZ,68,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0352,0.392,False,No significativo
UPZ,64,densidad_puntos_criticos_km2,Moran Local (LISA),0.6969,0.04,True,Low-Low
UPZ,71,densidad_puntos_criticos_km2,Moran Local (LISA),-0.244,0.32,False,No significativo
UPZ,29,densidad_puntos_criticos_km2,Moran Local (LISA),0.0318,0.326,False,No significativo
UPZ,76,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0177,0.414,False,No significativo
UPZ,3,densidad_puntos_criticos_km2,Moran Local (LISA),0.8609,0.046,True,Low-Low
UPZ,80,densidad_puntos_criticos_km2,Moran Local (LISA),1.5303,0.073,False,No significativo
UPZ,67,densidad_puntos_criticos_km2,Moran Local (LISA),0.0827,0.247,False,No significativo
UPZ,63,densidad_puntos_criticos_km2,Moran Local (LISA),0.2213,0.27,False,No significativo
UPZ,28,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0656,0.223,False,No significativo
UPZ,30,densidad_puntos_criticos_km2,Moran Local (LISA),0.1358,0.308,False,No significativo
UPZ,116,densidad_puntos_criticos_km2,Moran Local (LISA),0.0705,0.337,False,No significativo
UPZ,85,densidad_puntos_criticos_km2,Moran Local (LISA),0.6991,0.106,False,No significativo
UPZ,42,densidad_puntos_criticos_km2,Moran Local (LISA),-0.3614,0.009,True,Low-High
UPZ,111,densidad_puntos_criticos_km2,Moran Local (LISA),0.3851,0.026,True,Low-Low
UPZ,44,densidad_puntos_criticos_km2,Moran Local (LISA),0.0528,0.149,False,No significativo
UPZ,41,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0927,0.222,False,No significativo
UPZ,40,densidad_puntos_criticos_km2,Moran Local (LISA),-0.4008,0.077,False,No significativo
UPZ,34,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0634,0.055,False,No significativo
UPZ,84,densidad_puntos_criticos_km2,Moran Local (LISA),0.9653,0.054,False,No significativo
UPZ,32,densidad_puntos_criticos_km2,Moran Local (LISA),-0.2846,0.004,True,Low-High
UPZ,95,densidad_puntos_criticos_km2,Moran Local (LISA),3.2546,0.01,True,High-High
UPZ,87,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1927,0.041,True,Low-High
UPZ,117,densidad_puntos_criticos_km2,Moran Local (LISA),-0.4405,0.14,False,No significativo
UPZ,77,densidad_puntos_criticos_km2,Moran Local (LISA),0.0487,0.41,False,No significativo
UPZ,54,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0336,0.208,False,No significativo
UPZ,39,densidad_puntos_criticos_km2,Moran Local (LISA),0.9814,0.043,True,High-High
UPZ,62,densidad_puntos_criticos_km2,Moran Local (LISA),0.0479,0.244,False,No significativo
UPZ,53,densidad_puntos_criticos_km2,Moran Local (LISA),0.3815,0.081,False,No significativo
UPZ,69,densidad_puntos_criticos_km2,Moran Local (LISA),-0.4298,0.102,False,No significativo
UPZ,1,densidad_puntos_criticos_km2,Moran Local (LISA),0.6695,0.058,False,No significativo
UPZ,46,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0401,0.252,False,No significativo
UPZ,112,densidad_puntos_criticos_km2,Moran Local (LISA),0.1427,0.137,False,No significativo
UPZ,25,densidad_puntos_criticos_km2,Moran Local (LISA),0.0897,0.418,False,No significativo
UPZ,97,densidad_puntos_criticos_km2,Moran Local (LISA),0.2847,0.044,True,Low-Low
UPZ,98,densidad_puntos_criticos_km2,Moran Local (LISA),-0.0265,0.309,False,No significativo
UPZ,96,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1803,0.048,True,Low-High
UPZ,92,densidad_puntos_criticos_km2,Moran Local (LISA),-0.1233,0.352,False,No significativo
UPZ,94,densidad_puntos_criticos_km2,Moran Local (LISA),-0.7863,0.012,True,Low-High
UPZ,78,densidad_puntos_criticos_km2,Moran Local (LISA),0.1244,0.418,False,No significativo
UPZ,9,densidad_puntos_criticos_km2,Moran Local (LISA),0.2572,0.012,True,Low-Low
UPZ,113,densidad_puntos_criticos_km2,Moran Local (LISA),0.4166,0.125,False,No significativo
UPZ,81,densidad_puntos_criticos_km2,Moran Local (LISA),1.6585,0.009,True,High-High
UPZ,75,densidad_incidentes_km2,Moran Local (LISA),-0.1196,0.131,False,No significativo
UPZ,22,densidad_incidentes_km2,Moran Local (LISA),-0.2502,0.075,False,No significativo
UPZ,114,densidad_incidentes_km2,Moran Local (LISA),0.0637,0.497,False,No significativo
UPZ,103,densidad_incidentes_km2,Moran Local (LISA),0.0305,0.393,False,No significativo
UPZ,105,densidad_incidentes_km2,Moran Local (LISA),-0.3671,0.172,False,No significativo
UPZ,88,densidad_incidentes_km2,Moran Local (LISA),-0.1347,0.303,False,No significativo
UPZ,27,densidad_incidentes_km2,Moran Local (LISA),-0.036,0.102,False,No significativo
UPZ,99,densidad_incidentes_km2,Moran Local (LISA),4.005,0.012,True,High-High
UPZ,109,densidad_incidentes_km2,Moran Local (LISA),0.0243,0.179,False,No significativo
UPZ,90,densidad_incidentes_km2,Moran Local (LISA),-0.2251,0.012,True,Low-High
UPZ,33,densidad_incidentes_km2,Moran Local (LISA),1.2604,0.011,True,High-High
UPZ,102,densidad_incidentes_km2,Moran Local (LISA),0.6559,0.006,True,High-High
UPZ,45,densidad_incidentes_km2,Moran Local (LISA),-0.0059,0.453,False,No significativo
UPZ,93,densidad_incidentes_km2,Moran Local (LISA),2.7747,0.001,True,High-High
UPZ,72,densidad_incidentes_km2,Moran Local (LISA),0.006,0.44,False,No significativo
UPZ,15,densidad_incidentes_km2,Moran Local (LISA),0.0019,0.497,False,No significativo
UPZ,16,densidad_incidentes_km2,Moran Local (LISA),-0.0336,0.361,False,No significativo
UPZ,21,densidad_incidentes_km2,Moran Local (LISA),-0.0005,0.431,False,No significativo
UPZ,89,densidad_incidentes_km2,Moran Local (LISA),0.0,0.001,True,High-Low
UPZ,106,densidad_incidentes_km2,Moran Local (LISA),-0.9553,0.019,True,Low-High
UPZ,86,densidad_incidentes_km2,Moran Local (LISA),-0.0026,0.439,False,No significativo
UPZ,82,densidad_incidentes_km2,Moran Local (LISA),0.0915,0.27,False,No significativo
UPZ,37,densidad_incidentes_km2,Moran Local (LISA),-0.0805,0.013,True,Low-High
UPZ,49,densidad_incidentes_km2,Moran Local (LISA),-0.0356,0.259,False,No significativo
UPZ,19,densidad_incidentes_km2,Moran Local (LISA),0.0316,0.321,False,No significativo
UPZ,24,densidad_incidentes_km2,Moran Local (LISA),0.1231,0.387,False,No significativo
UPZ,23,densidad_incidentes_km2,Moran Local (LISA),0.0403,0.5,False,No significativo
UPZ,110,densidad_incidentes_km2,Moran Local (LISA),-0.0015,0.105,False,No significativo
UPZ,100,densidad_incidentes_km2,Moran Local (LISA),2.9056,0.008,True,High-High
UPZ,83,densidad_incidentes_km2,Moran Local (LISA),-0.1565,0.379,False,No significativo
UPZ,107,densidad_incidentes_km2,Moran Local (LISA),-0.0263,0.461,False,No significativo
UPZ,101,densidad_incidentes_km2,Moran Local (LISA),0.8365,0.006,True,High-High
UPZ,91,densidad_incidentes_km2,Moran Local (LISA),2.3373,0.004,True,High-High
UPZ,108,densidad_incidentes_km2,Moran Local (LISA),-0.0801,0.258,False,No significativo
UPZ,55,densidad_incidentes_km2,Moran Local (LISA),0.0256,0.084,False,No significativo
UPZ,51,densidad_incidentes_km2,Moran Local (LISA),-0.0496,0.236,False,No significativo
UPZ,60,densidad_incidentes_km2,Moran Local (LISA),0.2974,0.242,False,No significativo
