unidad,var_x,var_y,pearson_r,pearson_p,spearman_rho,spearman_p,n,spearman_p_fdr,sig_tras_fdr
UPZ,densidad_incidentes_km2,puntos_criticos_por_100milhab,0.254,0.00776,0.254,0.00778,109,0.01667,True
UPZ,densidad_incidentes_km2,incidentes_por_100milhab,0.363,0.0001,0.557,0.0,109,0.0,True
UPZ,densidad_incidentes_km2,densidad_poblacional_hab_km2,0.042,0.66147,0.141,0.13819,112,0.20729,False
UPZ,dist_estacion_bomberos_m,cobertura_macrorutas_pct,-0.214,0.02324,-0.211,0.02521,112,0.04384,True
UPZ,dist_estacion_bomberos_m,deficit_aseo_percapita,-0.042,0.6611,0.025,0.7992,109,0.864,False
UPZ,dist_estacion_bomberos_m,cestas_por_1000hab,0.028,0.77587,-0.07,0.46702,109,0.5441,False
UPZ,dist_estacion_bomberos_m,contenedores_por_1000hab,0.237,0.01323,-0.015,0.88011,109,0.91161,False
UPZ,dist_estacion_bomberos_m,puntos_criticos_por_100milhab,-0.252,0.00821,-0.307,0.00117,109,0.00312,True
UPZ,dist_estacion_bomberos_m,incidentes_por_100milhab,0.047,0.63004,0.005,0.96087,109,0.96087,False
UPZ,dist_estacion_bomberos_m,densidad_poblacional_hab_km2,-0.26,0.00555,-0.233,0.01344,112,0.02644,True
UPZ,cobertura_macrorutas_pct,deficit_aseo_percapita,-0.054,0.57611,-0.094,0.33346,109,0.42569,False
UPZ,cobertura_macrorutas_pct,cestas_por_1000hab,0.041,0.67581,0.09,0.35125,109,0.44368,False
UPZ,cobertura_macrorutas_pct,contenedores_por_1000hab,0.224,0.01937,0.17,0.07656,109,0.11778,False
UPZ,cobertura_macrorutas_pct,puntos_criticos_por_100milhab,0.004,0.96761,0.019,0.84251,109,0.89692,False
UPZ,cobertura_macrorutas_pct,incidentes_por_100milhab,0.169,0.07811,0.148,0.12547,109,0.19059,False
UPZ,cobertura_macrorutas_pct,densidad_poblacional_hab_km2,0.137,0.14945,0.181,0.05634,112,0.08896,False
UPZ,deficit_aseo_percapita,cestas_por_1000hab,-0.998,0.0,-0.963,0.0,109,0.0,True
UPZ,deficit_aseo_percapita,contenedores_por_1000hab,-0.508,0.0,-0.382,4e-05,109,0.00015,True
UPZ,deficit_aseo_percapita,puntos_criticos_por_100milhab,-0.064,0.50602,0.035,0.7179,109,0.78316,False
UPZ,deficit_aseo_percapita,incidentes_por_100milhab,-0.522,0.0,-0.612,0.0,109,0.0,True
UPZ,deficit_aseo_percapita,densidad_poblacional_hab_km2,0.446,0.0,0.577,0.0,109,0.0,True
UPZ,cestas_por_1000hab,contenedores_por_1000hab,0.456,0.0,0.228,0.01703,109,0.03096,True
