year,geography_level,geography_id,variable,value
2017,UPZ,105.0,emergencies,56.0
2018,UPZ,105.0,emergencies,41.0
2019,UPZ,105.0,emergencies,31.0
2020,UPZ,105.0,emergencies,9.0
2018,UPZ,106.0,emergencies,170.0
2019,UPZ,106.0,emergencies,192.0
2020,UPZ,106.0,emergencies,87.0
2016,UPZ,107.0,emergencies,217.0
2017,UPZ,107.0,emergencies,165.0
2018,UPZ,107.0,emergencies,261.0
2019,UPZ,107.0,emergencies,240.0
2020,UPZ,107.0,emergencies,99.0
2016,UPZ,108.0,emergencies,298.0
2017,UPZ,108.0,emergencies,260.0
2018,UPZ,108.0,emergencies,252.0
2019,UPZ,108.0,emergencies,239.0
2020,UPZ,108.0,emergencies,174.0
2016,UPZ,109.0,emergencies,235.0
2017,UPZ,109.0,emergencies,271.0
2018,UPZ,109.0,emergencies,154.0
2019,UPZ,109.0,emergencies,110.0
2020,UPZ,109.0,emergencies,42.0
2016,UPZ,110.0,emergencies,231.0
2017,UPZ,110.0,emergencies,263.0
2018,UPZ,110.0,emergencies,231.0
2019,UPZ,110.0,emergencies,222.0
2020,UPZ,110.0,emergencies,121.0
2016,UPZ,111.0,emergencies,115.0
2017,UPZ,111.0,emergencies,80.0
2018,UPZ,111.0,emergencies,267.0
2019,UPZ,111.0,emergencies,380.0
2020,UPZ,111.0,emergencies,149.0
2016,UPZ,112.0,emergencies,410.0
2017,UPZ,112.0,emergencies,456.0
2018,UPZ,112.0,emergencies,451.0
2019,UPZ,112.0,emergencies,441.0
2020,UPZ,112.0,emergencies,449.0
2016,UPZ,113.0,emergencies,252.0
2017,UPZ,113.0,emergencies,280.0
2018,UPZ,113.0,emergencies,221.0
2019,UPZ,113.0,emergencies,152.0
2020,UPZ,113.0,emergencies,100.0
2016,UPZ,114.0,emergencies,102.0
2017,UPZ,114.0,emergencies,122.0
2018,UPZ,114.0,emergencies,201.0
2019,UPZ,114.0,emergencies,192.0
2020,UPZ,114.0,emergencies,129.0
2016,UPZ,115.0,emergencies,364.0
2017,UPZ,115.0,emergencies,344.0
2018,UPZ,115.0,emergencies,127.0
2019,UPZ,115.0,emergencies,103.0
2020,UPZ,115.0,emergencies,72.0
2016,UPZ,116.0,emergencies,52.0
2017,UPZ,116.0,emergencies,62.0
2018,UPZ,116.0,emergencies,141.0
2019,UPZ,116.0,emergencies,91.0
2020,UPZ,116.0,emergencies,45.0
2016,UPZ,117.0,emergencies,24.0
2017,UPZ,117.0,emergencies,27.0
2018,UPZ,117.0,emergencies,24.0
2019,UPZ,117.0,emergencies,55.0
2020,UPZ,117.0,emergencies,16.0
2017,UPZ,1.0,fires,0.0
2018,UPZ,1.0,fires,3.0
2019,UPZ,1.0,fires,3.0
2020,UPZ,1.0,fires,3.0
2016,UPZ,2.0,fires,4.0
2017,UPZ,2.0,fires,0.0
2018,UPZ,2.0,fires,4.0
2019,UPZ,2.0,fires,0.0
2020,UPZ,2.0,fires,0.0
2016,UPZ,3.0,fires,0.0
2017,UPZ,3.0,fires,0.0
2018,UPZ,3.0,fires,1.0
2019,UPZ,3.0,fires,17.0
2020,UPZ,3.0,fires,6.0
2018,UPZ,9.0,fires,23.0
2019,UPZ,9.0,fires,19.0
2020,UPZ,9.0,fires,13.0
2016,UPZ,10.0,fires,35.0
2017,UPZ,10.0,fires,19.0
2018,UPZ,10.0,fires,9.0
2019,UPZ,10.0,fires,10.0
2020,UPZ,10.0,fires,23.0
2016,UPZ,11.0,fires,10.0
2017,UPZ,11.0,fires,7.0
2018,UPZ,11.0,fires,13.0
2019,UPZ,11.0,fires,18.0
2020,UPZ,11.0,fires,14.0
2016,UPZ,12.0,fires,25.0
2017,UPZ,12.0,fires,8.0
2018,UPZ,12.0,fires,19.0
2019,UPZ,12.0,fires,19.0
2020,UPZ,12.0,fires,10.0
2016,UPZ,13.0,fires,19.0
2017,UPZ,13.0,fires,17.0
2018,UPZ,13.0,fires,27.0
2019,UPZ,13.0,fires,35.0
2020,UPZ,13.0,fires,19.0
2016,UPZ,14.0,fires,52.0
2017,UPZ,14.0,fires,38.0
2018,UPZ,14.0,fires,25.0
2019,UPZ,14.0,fires,14.0
2020,UPZ,14.0,fires,7.0
2016,UPZ,15.0,fires,21.0
2017,UPZ,15.0,fires,16.0
2018,UPZ,15.0,fires,2.0
2019,UPZ,15.0,fires,6.0
2020,UPZ,15.0,fires,8.0
2016,UPZ,16.0,fires,9.0
2017,UPZ,16.0,fires,8.0
2018,UPZ,16.0,fires,8.0
2019,UPZ,16.0,fires,23.0
2020,UPZ,16.0,fires,12.0
2016,UPZ,17.0,fires,27.0
2017,UPZ,17.0,fires,25.0
2018,UPZ,17.0,fires,12.0
2019,UPZ,17.0,fires,16.0
2020,UPZ,17.0,fires,5.0
2016,UPZ,18.0,fires,10.0
2017,UPZ,18.0,fires,20.0
2018,UPZ,18.0,fires,18.0
2019,UPZ,18.0,fires,14.0
2020,UPZ,18.0,fires,10.0
2016,UPZ,19.0,fires,13.0
2017,UPZ,19.0,fires,6.0
2018,UPZ,19.0,fires,21.0
2019,UPZ,19.0,fires,19.0
2020,UPZ,19.0,fires,17.0
2016,UPZ,20.0,fires,19.0
2017,UPZ,20.0,fires,21.0
2018,UPZ,20.0,fires,16.0
2019,UPZ,20.0,fires,13.0
2020,UPZ,20.0,fires,7.0
2016,UPZ,21.0,fires,15.0
2017,UPZ,21.0,fires,8.0
2018,UPZ,21.0,fires,13.0
2019,UPZ,21.0,fires,17.0
2020,UPZ,21.0,fires,7.0
2016,UPZ,22.0,fires,8.0
2017,UPZ,22.0,fires,10.0
2018,UPZ,22.0,fires,11.0
2019,UPZ,22.0,fires,32.0
2020,UPZ,22.0,fires,14.0
2016,UPZ,23.0,fires,24.0
2017,UPZ,23.0,fires,20.0
2018,UPZ,23.0,fires,7.0
2019,UPZ,23.0,fires,15.0
2020,UPZ,23.0,fires,8.0
2016,UPZ,24.0,fires,10.0
2017,UPZ,24.0,fires,7.0
2018,UPZ,24.0,fires,16.0
2019,UPZ,24.0,fires,17.0
2020,UPZ,24.0,fires,6.0
2016,UPZ,25.0,fires,23.0
2017,UPZ,25.0,fires,20.0
2018,UPZ,25.0,fires,7.0
2019,UPZ,25.0,fires,18.0
2020,UPZ,25.0,fires,6.0
2016,UPZ,26.0,fires,7.0
2017,UPZ,26.0,fires,5.0
2018,UPZ,26.0,fires,24.0
2019,UPZ,26.0,fires,36.0
2020,UPZ,26.0,fires,16.0
2016,UPZ,27.0,fires,30.0
2017,UPZ,27.0,fires,28.0
2018,UPZ,27.0,fires,29.0
2019,UPZ,27.0,fires,33.0
2020,UPZ,27.0,fires,20.0
2016,UPZ,28.0,fires,28.0
2017,UPZ,28.0,fires,20.0
2018,UPZ,28.0,fires,34.0
2019,UPZ,28.0,fires,50.0
2020,UPZ,28.0,fires,28.0
2016,UPZ,29.0,fires,52.0
2017,UPZ,29.0,fires,40.0
2018,UPZ,29.0,fires,45.0
2019,UPZ,29.0,fires,26.0
2020,UPZ,29.0,fires,4.0
2016,UPZ,30.0,fires,21.0
2017,UPZ,30.0,fires,29.0
2018,UPZ,30.0,fires,22.0
2019,UPZ,30.0,fires,38.0
2020,UPZ,30.0,fires,11.0
2016,UPZ,31.0,fires,39.0
2017,UPZ,31.0,fires,33.0
2018,UPZ,31.0,fires,18.0
