year,upz_id,upz_nombre,localidad_id,localidad_nombre,pct_stratum_1_2,cestas,cestas_per_km2,containers,containers_per_km2,sweeping_route_coverage,critical_points,critical_points_per_km2,emergencies,emergencies_per_km2
2018,80,Corabastos,08,KENNEDY,99.41176470588235,64,34.71,10,5.42,10.6,8,4.34,145.0,78.64
2018,67,Lucero,19,CIUDAD BOLIVAR,100.0,216,36.87,6,1.02,44.7,10,1.71,598.0,102.06
2018,63,El Mochuelo,19,CIUDAD BOLIVAR,100.0,31,9.8,0,0.0,2.7,0,0.0,83.0,26.23
2018,28,El Rincon,11,SUBA,71.73738991192954,740,104.3,515,72.58,88.2,11,1.55,696.0,98.09
2018,30,Boyaca Real,10,ENGATIVA,0.0,772,170.26,469,103.44,100.0,11,2.43,565.0,124.61
2018,116,Alamos,10,ENGATIVA,8.0,417,208.42,103,51.48,100.0,4,2.0,141.0,70.47
2018,85,Bosa Central,07,BOSA,100.0,953,133.46,21,2.94,39.1,23,3.22,716.0,100.27
2018,42,Venecia,06,TUNJUELITO,61.050724637681164,717,108.09,152,22.92,25.0,5,0.75,534.0,80.51
2018,111,Puente Aranda,16,PUENTE ARANDA,1.4492753623188406,547,153.58,97,27.23,20.4,1,0.28,267.0,74.97
2018,44,Americas,08,KENNEDY,26.822916666666668,819,215.15,116,30.47,14.4,4,1.05,350.0,91.94
2018,41,Muzu,16,PUENTE ARANDA,0.0,951,376.45,137,54.23,44.2,2,0.79,186.0,73.63
2018,40,Ciudad Montes,16,PUENTE ARANDA,0.0,1417,318.27,42,9.43,37.4,1,0.22,421.0,94.56
2018,34,20 De Julio,04,SAN CRISTOBAL,76.90677966101694,565,215.38,192,73.19,79.8,3,1.14,385.0,146.76
2018,84,Bosa Occidental,07,BOSA,100.0,440,102.32,35,8.14,49.4,13,3.02,506.0,117.66
2018,32,San Blas,04,SAN CRISTOBAL,100.0,95,23.77,5,1.25,56.6,4,1.0,497.0,124.34
2018,95,Las Cruces,03,SANTA FE,100.0,44,47.67,2,2.17,70.5,8,8.67,272.0,294.69
2018,87,Tintal Sur,07,BOSA,100.0,184,31.92,55,9.54,10.9,6,1.04,175.0,30.36
2018,117,Aeropuerto El Dorado,09,FONTIBON,0.0,114,15.35,0,0.0,1.9,0,0.0,24.0,3.23
2018,77,Zona Franca,09,FONTIBON,95.08196721311475,389,79.19,58,11.81,3.9,4,0.81,154.0,31.35
2018,54,Marruecos,18,RAFAEL URIBE URIBE,98.25396825396825,375,103.42,197,54.33,36.1,4,1.1,251.0,69.22
2018,39,Quiroga,18,RAFAEL URIBE URIBE,0.0,785,206.97,207,54.58,41.1,11,2.9,594.0,156.61
